Geographical Location (Latitude),Geographical Location (Longitude),Sampling Date,Nitrogen (mg/L),Phosphorus (mg/L),State of Sewage System,Location
5.201085556,-55.02967279,6/10/2022,7.181860323,2.320506019,Good,"(5.201085556, -55.02967279)"
-64.19640827,94.48326816,10/12/2018,9.735684695,1.015308071,Good,"(-64.19640827, 94.48326816)"
-7.892940201,-90.50310949,2/16/2023,6.778073831,4.718451721,Good,"(-7.892940201, -90.50310949)"
-11.33424832,110.7789864,10/17/2021,3.340601398,3.315705466,Moderate,"(-11.33424832, 110.7789864)"
-24.53206123,-147.5884016,12/1/2021,8.75321134,4.682091281,Good,"(-24.53206123, -147.5884016)"
-71.63193407,95.65387729,4/30/2022,9.783079744,1.076264132,Good,"(-71.63193407, 95.65387729)"
28.1393261,-108.1446544,2/17/2021,7.952277108,1.871881452,Good,"(28.1393261, -108.1446544)"
18.87219355,-155.3134536,4/9/2019,3.472458127,0.204053514,Moderate,"(18.87219355, -155.3134536)"
-36.69476445,2.417581771,7/28/2015,2.5289856,2.177359788,Moderate,"(-36.69476445, 2.417581771)"
13.6703692,167.3772972,5/25/2022,1.776112317,3.218343065,Poor,"(13.6703692, 167.3772972)"
15.57232827,174.6207994,4/13/2022,5.618661869,4.922411776,Moderate,"(15.57232827, 174.6207994)"
32.00697662,68.48780701,1/9/2022,5.791300499,1.399415315,Good,"(32.00697662, 68.48780701)"
83.19393812,-109.7293366,5/24/2022,9.70859885,3.872637964,Moderate,"(83.19393812, -109.7293366)"
81.49482207,-5.666970929,11/18/2021,3.880583922,2.806985871,Poor,"(81.49482207, -5.666970929)"
68.59857548,-153.7524869,5/8/2014,8.786388643,3.728854137,Moderate,"(68.59857548, -153.7524869)"
0.238388747,21.49639553,10/22/2018,7.725581494,2.85426028,Good,"(0.238388747, 21.49639553)"
25.91823586,97.69499394,8/27/2022,5.443428374,3.690659977,Moderate,"(25.91823586, 97.69499394)"
-36.30918133,-147.9057359,3/12/2023,6.293288859,1.862414367,Good,"(-36.30918133, -147.9057359)"
27.57614757,142.7063245,9/15/2022,9.861332696,4.557006064,Moderate,"(27.57614757, 142.7063245)"
70.5462039,36.96509653,4/25/2022,5.615487845,0.434012855,Good,"(70.5462039, 36.96509653)"
-60.75127176,-79.38768517,8/12/2015,4.680886682,1.477072072,Poor,"(-60.75127176, -79.38768517)"
-67.71240309,-119.9387089,4/11/2019,6.868954198,4.794401631,Moderate,"(-67.71240309, -119.9387089)"
12.43813295,-89.8065801,8/2/2015,4.620010399,1.146202883,Moderate,"(12.43813295, -89.8065801)"
-25.20394839,160.2280068,3/17/2015,9.946603377,2.73890744,Good,"(-25.20394839, 160.2280068)"
-59.10665809,-168.9989726,7/20/2019,2.88078871,4.11137496,Good,"(-59.10665809, -168.9989726)"
3.786589117,-67.78022871,10/26/2018,8.2275227,3.006893208,Poor,"(3.786589117, -67.78022871)"
36.79459235,16.61304848,4/25/2020,4.298289501,1.409097722,Good,"(36.79459235, 16.61304848)"
6.413904544,131.3912675,4/25/2022,4.85088307,1.19714335,Poor,"(6.413904544, 131.3912675)"
79.9870302,-118.7656835,4/16/2015,0.109495114,1.129274514,Good,"(79.9870302, -118.7656835)"
-49.06536696,146.730434,1/19/2022,1.90580452,2.519322243,Poor,"(-49.06536696, 146.730434)"
-33.87674124,-78.34679259,11/5/2017,4.28929549,4.342516429,Moderate,"(-33.87674124, -78.34679259)"
71.40083275,172.3228444,7/17/2016,9.74265485,4.568917701,Good,"(71.40083275, 172.3228444)"
-50.95854281,130.1044398,7/8/2015,4.045869663,2.628330056,Good,"(-50.95854281, 130.1044398)"
-32.39691285,70.07603537,11/10/2017,9.919723478,4.666644762,Good,"(-32.39691285, 70.07603537)"
59.58872194,-157.3732722,4/19/2019,3.745329582,0.654298165,Good,"(59.58872194, -157.3732722)"
23.21673185,-57.78063137,2/5/2021,2.502482968,0.351236064,Good,"(23.21673185, -57.78063137)"
-40.76243373,-110.5780465,12/28/2023,4.522267751,3.53599203,Moderate,"(-40.76243373, -110.5780465)"
33.74788975,153.7366463,1/30/2023,9.33374902,3.627418546,Poor,"(33.74788975, 153.7366463)"
-51.20861812,100.6132569,5/31/2017,7.399599669,0.820271914,Moderate,"(-51.20861812, 100.6132569)"
80.52670629,-130.223361,7/28/2022,9.011149808,1.4358795,Good,"(80.52670629, -130.223361)"
41.55404522,52.35615035,1/3/2023,8.271615837,1.130102298,Moderate,"(41.55404522, 52.35615035)"
-22.64940354,-23.10474505,4/19/2018,7.918692607,2.091853927,Moderate,"(-22.64940354, -23.10474505)"
-6.556423614,-13.78184524,8/22/2015,3.334998327,4.558412242,Good,"(-6.556423614, -13.78184524)"
-66.22774086,168.061679,1/1/2022,1.458993852,1.803674104,Good,"(-66.22774086, 168.061679)"
79.27775015,84.10458398,12/30/2016,6.073594761,0.254771118,Good,"(79.27775015, 84.10458398)"
